"Title: Health Care Expenditures per Capita by State of Residence | KFF"
"Timeframe: 1991 - 2020"
"Location","1991__Health Spending per Capita","1992__Health Spending per Capita","1993__Health Spending per Capita","1994__Health Spending per Capita","1995__Health Spending per Capita","1996__Health Spending per Capita","1997__Health Spending per Capita","1998__Health Spending per Capita","1999__Health Spending per Capita","2000__Health Spending per Capita","2001__Health Spending per Capita","2002__Health Spending per Capita","2003__Health Spending per Capita","2004__Health Spending per Capita","2005__Health Spending per Capita","2006__Health Spending per Capita","2007__Health Spending per Capita","2008__Health Spending per Capita","2009__Health Spending per Capita","2010__Health Spending per Capita","2011__Health Spending per Capita","2012__Health Spending per Capita","2013__Health Spending per Capita","2014__Health Spending per Capita","2015__Health Spending per Capita","2016__Health Spending per Capita","2017__Health Spending per Capita","2018__Health Spending per Capita","2019__Health Spending per Capita","2020__Health Spending per Capita"
"United States","2659","2840","2984","3109","3255","3397","3543","3696","3868","4101","4411","4750","5090","5406","5734","6056","6381","6603","6866","7052","7236","7477","7611","7938","8337","8652","8936","9246","9671","10191"
"Alabama","2523","2704","2841","2970","3137","3316","3526","3570","3689","3921","4158","4513","4995","5238","5546","5768","5942","6100","6322","6406","6513","6797","6969","7277","7657","7968","8154","8343","8741","9280"
"Alaska","2553","2634","2755","2992","3085","3386","3621","3811","4076","4559","5163","5671","6100","6445","7081","7423","7923","8314","8550","8927","9343","9930","10085","10535","11460","11761","12303","12695","13226","13642"
"Arizona","2434","2493","2610","2666","2695","2785","2816","2935","3068","3225","3435","3791","4090","4390","4841","5127","5441","5677","5877","6020","6075","6207","6289","6561","6885","7189","7539","7816","8145","8756"
"Arkansas","2351","2480","2597","2714","2891","3031","3215","3334","3517","3709","4008","4355","4618","4879","5238","5462","5757","5985","6223","6378","6541","6773","6819","7284","7620","8079","8409","8545","8853","9338"
"California","2659","2827","2931","2984","3049","3127","3181","3352","3436","3567","3831","4129","4493","4766","5097","5394","5775","6035","6207","6480","6741","7038","7241","7472","7998","8325","8594","9069","9628","10299"
"Colorado","2481","2619","2694","2774","2903","3018","3112","3322","3464","3767","3994","4275","4585","4835","4952","5295","5560","5692","5860","5932","6061","6221","6364","6680","7075","7323","7615","7998","8286","8583"
"Connecticut","3305","3515","3641","3828","4088","4228","4458","4714","4929","5166","5541","5933","6217","6714","6988","7391","7799","8195","8721","8831","8910","9229","9440","9831","10294","10705","10989","11378","11831","12489"
"Delaware","2824","3027","3226","3465","3635","3738","4025","4176","4541","4752","5062","5518","6144","6577","6946","7301","7721","8107","8385","8802","9202","9446","9768","10263","10714","10933","11444","11771","12213","12899"
"District of Columbia","4642","5168","5435","5525","5645","5852","5930","6129","6291","6292","6637","7167","7646","8359","8908","9251","9851","10223","10701","11112","11537","11426","11583","11975","12500","12851","13131","13487","13934","14381"
"Florida","2937","3141","3294","3424","3541","3694","3849","3947","4132","4445","4724","5021","5327","5671","5954","6298","6608","6856","7118","7269","7375","7609","7603","7965","8330","8519","8814","9148","9490","9865"
"Georgia","2484","2659","2808","2888","3021","3131","3239","3337","3431","3601","3800","4139","4367","4725","4905","5181","5365","5384","5527","5551","5696","5981","6229","6622","7055","7353","7605","7844","8243","8758"
"Hawaii","2581","2710","2914","3106","3304","3517","3507","3626","3742","3874","4094","4412","4757","5016","5381","5555","6093","6364","6510","6440","6460","6738","6880","7224","7747","8041","8496","8932","9555","10291"
"Idaho","2113","2242","2338","2407","2546","2705","2847","3000","3155","3372","3631","4004","4253","4474","4793","5060","5314","5448","5668","5909","6052","6283","6377","6615","6843","6974","7257","7444","7723","8148"
"Illinois","2719","2907","3053","3196","3333","3471","3609","3767","3908","4166","4448","4786","5077","5344","5679","6042","6467","6629","6859","7159","7300","7505","7695","8017","8300","8630","8849","9118","9496","10190"
"Indiana","2530","2730","2909","2998","3118","3165","3383","3577","3784","4018","4335","4664","5030","5394","5638","5996","6296","6380","6710","6859","7104","7618","7647","7998","8368","8776","9015","9297","9927","10517"
"Iowa","2580","2723","2857","3018","3162","3349","3510","3791","3997","4226","4561","4845","5211","5470","5808","6172","6444","6658","6889","7095","7310","7547","7638","7967","8358","8464","8525","8812","9193","9789"
"Kansas","2606","2759","2867","3031","3215","3386","3571","3763","3981","4225","4532","4839","5138","5456","5758","6026","6349","6570","6727","6803","7071","7385","7240","7368","7634","7845","8060","8381","8745","9408"
"Kentucky","2373","2564","2685","2789","2985","3181","3415","3570","3814","4154","4455","4823","5084","5385","5659","5981","6206","6351","6676","6861","7097","7249","7499","7965","8306","8611","8959","9332","9744","10257"
"Louisiana","2633","2849","3038","3200","3324","3429","3589","3704","3892","4021","4261","4544","4902","5230","5412","5935","6286","6594","6929","7187","7124","7271","7462","7855","8201","8542","8984","9217","9657","10515"
"Maine","2538","2676","2859","2977","3236","3508","3777","4072","4394","4638","5049","5492","6002","6471","6875","7295","7637","7924","8192","8342","8584","8753","8813","9115","9591","10018","10399","10950","11488","12077"
"Maryland","2771","2939","3113","3285","3400","3563","3695","3730","3967","4227","4592","4986","5385","5724","6075","6560","6945","7226","7518","7744","7928","8110","8217","8574","9001","9321","9592","9934","10248","10839"
"Massachusetts","3313","3516","3769","3895","4103","4288","4500","4783","4877","5171","5608","6118","6599","7012","7479","8055","8617","8974","9361","9533","9720","9952","10085","10394","11010","11490","11746","12215","12729","13319"
"Michigan","2653","2780","2926","3088","3284","3461","3612","3681","3820","4050","4297","4576","4895","5261","5564","5979","6318","6552","6824","7089","7345","7579","7693","7967","8372","8707","8940","9142","9532","9897"
"Minnesota","2685","2789","2940","3146","3340","3502","3688","3989","4179","4506","4880","5312","5675","6000","6328","6673","7045","7227","7532","7801","8013","8242","8533","8919","9163","9540","9782","10174","10510","10846"
"Mississippi","2163","2299","2464","2627","2844","3024","3211","3308","3420","3704","4063","4403","4699","5060","5364","5775","6161","6380","6551","6554","6735","7210","7203","7500","7777","8170","8392","8417","8745","9394"
"Missouri","2505","2719","2867","3052","3169","3332","3502","3698","3864","4159","4447","4843","5185","5433","5665","5816","6329","6651","6818","6990","7265","7538","7592","7828","8261","8608","8824","9032","9431","9921"
"Montana","2341","2493","2574","2633","2809","2883","3140","3334","3571","3855","4197","4477","4802","5055","5440","5759","6102","6345","6637","6919","7150","7461","7703","7942","8344","8680","9030","9354","9808","10212"
"Nebraska","2352","2529","2668","2827","2956","3172","3313","3507","3747","4125","4545","4872","5223","5584","5931","6363","6653","6928","7104","7406","7580","7824","7928","8175","8579","8943","9189","9492","9917","10514"
"Nevada","2364","2548","2602","2676","2750","2828","2931","3053","3146","3392","3674","4072","4376","4667","4911","5152","5436","5614","5695","5788","5973","6056","6259","6723","6987","7377","7642","7892","8114","8348"
"New Hampshire","2442","2667","2756","2874","3127","3352","3509","3743","3982","4236","4520","4827","5240","5733","6285","6763","7227","7583","8129","8445","8717","8960","9186","9367","9763","10157","10573","10974","11310","11793"
"New Jersey","2944","3187","3335","3537","3741","3853","4019","4195","4345","4732","4990","5405","5698","6007","6457","6760","7138","7353","7756","7815","7970","8337","8534","9008","9483","9979","10340","10665","11264","11868"
"New Mexico","2228","2383","2476","2605","2733","2894","3040","3136","3293","3463","3732","4042","4287","4671","5105","5369","5702","5997","6264","6430","6514","6679","6697","7010","7418","7717","7973","8154","8459","8902"
"New York","3193","3425","3636","3840","4021","4214","4369","4591","4842","5024","5419","5828","6331","6720","7051","7485","7841","8059","8506","8759","8991","9085","9371","9805","10305","10927","11558","12098","12932","14007"
"North Carolina","2251","2433","2614","2776","2947","3159","3331","3424","3658","3950","4350","4574","4896","5243","5542","5835","5996","6166","6454","6518","6705","6968","6913","7194","7594","7886","8105","8285","8619","8917"
"North Dakota","2677","2880","3016","3239","3483","3629","3758","3998","4136","4383","4797","5298","5499","5839","6175","6556","6992","7319","7707","8011","8324","8457","8712","9005","9357","9682","9961","10269","10653","11301"
"Ohio","2669","2884","3045","3162","3320","3518","3611","3733","3927","4208","4637","5037","5419","5771","6113","6397","6674","6816","7242","7397","7488","7854","8030","8401","8754","9062","9400","9627","10173","10478"
"Oklahoma","2355","2528","2615","2790","2962","3145","3255","3378","3551","3754","4093","4358","4755","4961","5366","5688","6039","6372","6514","6664","6937","7212","7316","7658","7902","8132","8382","8625","8923","9444"
"Oregon","2293","2477","2583","2677","2820","2921","3071","3362","3533","3734","4139","4396","4675","5023","5395","5760","6003","6232","6502","6750","6987","7159","7378","7899","8438","8699","8827","9168","9635","10071"
"Pennsylvania","3008","3241","3407","3529","3710","3802","4012","4161","4430","4702","5056","5389","5791","6166","6572","6868","7239","7457","7655","8069","8371","8577","8802","9142","9562","9980","10342","10910","11175","11603"
"Rhode Island","2923","3154","3335","3385","3743","3863","4072","4300","4495","4772","5141","5564","5992","6446","6986","7326","7717","8048","8343","8460","8665","8859","9016","9484","9914","10159","10290","10464","10988","11694"
"South Carolina","2249","2426","2591","2747","2887","3015","3271","3411","3621","3848","4222","4547","4836","5128","5408","5675","5915","6158","6338","6507","6638","6785","6918","7210","7446","7669","7855","7975","8345","8766"
"South Dakota","2420","2552","2656","2902","3065","3272","3475","3639","3935","4157","4374","4836","5182","5414","5887","6267","6591","6969","7372","7766","8154","8452","8674","9103","9627","10046","10440","11086","11627","12495"
"Tennessee","2544","2758","2938","3049","3256","3417","3594","3694","3827","4086","4470","4688","5085","5500","5765","5958","6231","6310","6497","6630","6738","7011","7128","7418","7806","8065","8485","8565","8827","9336"
"Texas","2339","2516","2643","2709","2857","3004","3187","3300","3470","3639","3924","4251","4445","4660","5046","5275","5497","5741","5973","6111","6259","6475","6510","6825","7217","7393","7572","7711","8028","8406"
"Utah","1966","2055","2173","2221","2333","2487","2684","2746","2775","3027","3285","3619","3873","4158","4428","4635","4863","5021","5099","5133","5280","5474","5554","5825","6112","6398","6628","7008","7193","7522"
"Vermont","2328","2469","2623","2777","3039","3184","3444","3682","4033","4398","4792","5260","5840","6233","6665","7304","7654","7972","8464","8850","9209","9679","10247","10589","11010","11246","11521","11797","12159","12756"
"Virginia","2340","2419","2544","2656","2772","2942","3102","3239","3354","3661","3850","4194","4550","4877","5178","5484","5803","6098","6414","6548","6790","7045","7192","7449","7750","7987","8176","8425","8826","9195"
"Washington","2507","2672","2736","2836","2997","3066","3154","3393","3641","3863","4168","4541","4882","5130","5462","5754","6157","6489","6805","6912","7022","7333","7356","7602","7904","8097","8278","8588","8964","9265"
"West Virginia","2585","2845","3037","3227","3440","3619","3855","4036","4221","4458","4872","5250","5628","6013","6385","6707","7089","7311","7748","7920","8210","8712","8891","9385","9947","10488","11017","11337","11951","12769"
"Wisconsin","2547","2710","2870","3024","3195","3376","3526","3688","4001","4314","4744","5085","5411","5766","6139","6553","6883","7148","7441","7605","7825","7906","7984","8371","8654","8809","9019","9244","9652","9982"
"Wyoming","2216","2278","2464","2635","2836","3012","3189","3425","3606","3964","4275","4706","5003","5282","5686","6154","6560","6796","6943","7244","7482","7749","7845","8269","8652","8976","9496","9787","10111","10989"

"Notes"
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  "
""
"Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  "
""
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416)."

"Sources"
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), August 2022."

"Definitions"
"*Health Spending Per Capita* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence (aggregate spending divided by population). Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total."


